;Plate 1 actual;Plate 2 actual;Plate 3 actual;Plate 4 actual;Plate 5 actual;Plate 6;Plate 7
1;Reishi;Ginger;Rosemary;German Chamomile;Guarana; Sceletium / Kanna ; Panax ginseng 
2;Chaga;Turmeric;Sage;Roman Chamomile;Coffee; Rooibos ; Schisandra 
3;Lion's Mane;Ashwagandha;Thyme;Passionflower;Cacao; Honeybush ; Cat’s claw 
4;Cordyceps;Valerian;Oregano;Hops;Cola Nut; Buchu ; Bilberry 
5;Eucalyptus;Rhodiola;Basil;Skullcap;Moringa; Kankerbossie / Cancer bush ; Bamboo 
6;Ginkgo;Licorice;Lavender;Yarrow;Milk Thistle; Wild dagga / Lion’s tail ; Alfalfa / Lucerne 
7;Willow;Marshmallow;Peppermint;Calendula;Black Seed; Bulbine / Burn jelly ; Amaranth 
8;Witch Hazel;Goldenseal;Spearmint;St John's Wort;Fennel; Pelargonium / Umckaloabo ; Asparagus 
9;Cinnamon;Burdock;Lemon Balm;Motherwort;Fenugreek; Pepperbark ; Globe artichoke 
10;Clove;Garlic;Lemon Verbena;Hibiscus;Coriander; African wild ginger ; Guava 
11;Neem;Siberian Ginseng;Lemongrass;Blue Lotus;Dill; Christmas berry / Bitterbos ; Oats / Oatstraw / Milky tops 
12;Baobab;American Ginseng;Bay Laurel;Damiana;Celery Seed; Wormwood / Wilde-als ; Cardamom 
13;Pine;Astragalus;Parsley;Jasmine;Caper; Gotu kola ; Cayenne / Chilli 
14;Frankincense;Echinacea Root;Coriander/Cilantro;Borage;Coconut; Bacopa ; Cannabis 
15;Myrrh;Maca;Dill;Cornflower;Argan; Plantain / Ribwort ; Opium poppy 
16;Arborvitae;Dandelion Root;Fennel;Red Clover;Macadamia; Stinging nettle ; Tea 
17;Juniper;Chicory Root;Caraway;Meadowsweet;Pomegranate; Comfrey ; Tobacco 
18;Tea Tree;Angelica;Cumin;Linden Flower;Rosehip; Chickweed ; Tulsi / Holy basil 
19;Sandalwood;Horseradish;Celery;Elderflower;Grape; Eyebright ; Tarragon 
20;Birch;Black Cohosh;Chives;Mullein;Olive; Lungwort ; King of bitters 
21;Cypress;Elecampane;Garlic Chives;Lavender;Pumpkin Seed; Horsetail ; Pokeweed 
22;Hawthorn;Meadowsweet Root;Marjoram;Vervain;Sunflower; Goldenrod ; Rhubarb 
23;Oak;Aloe Vera;Sweet Marjoram;Lemon Verbena;Sesame; Hyssop ;         
24;Poplar;Devil's Claw;Nasturtium;Feverfew;Flaxseed; Raspberry leaf ;          
25;Spruce;Pau D'Arco;Calendula;Bee Balm;Evening Primrose; Slippery elm ;
